Date,Adj Close,Open,High,Low,,
2018-05-20,163.86,163.68,165.67,163.31,,
2018-05-27,164.62,164.5,164.8,161.31,,
2018-06-03,167.1,164.62,167.12,164.62,,
2018-06-10,165.71,167.1,167.53,164.51,,
2018-06-17,163.97,165.71,165.71,162.84,,
2018-06-24,162.25,163.97,163.97,161.1,,
2018-07-01,164.49,162.25,164.79,161.06,,
2018-07-08,165.51,164.49,166.56,164.49,,
2018-07-15,165.13,165.51,166.18,164.88,,
2018-07-22,167.55,165.13,168.39,164.62,,
2018-07-29,168.91,167.55,168.94,166.55,,
2018-08-05,167.64,168.91,169.81,167.22,,
2018-08-12,169.88,167.64,170.24,166.02,,
2018-08-19,170.09,169.88,171.01,169.14,,
2018-08-26,169.98,170.09,171.35,169.29,,
2018-09-02,169.69,170.17,170.74,169.03,,
2018-09-09,170.86,169.69,170.98,169.34,,
2018-09-16,173.38,170.86,173.54,170.6,,
2018-09-23,170.2,173.38,173.38,169.64,,
2018-09-30,170.96,170.2,172.59,170.2,,
2018-10-07,163.65,170.96,172.02,161.78,,
2018-10-14,164.97,163.65,166.76,163.36,,
2018-10-21,158.86,164.97,165.35,157.66,,
2018-10-28,163.06,158.86,164.72,157.62,,
2018-11-04,166.94,163.06,168.36,163.06,,
2018-11-11,165.87,166.94,166.94,162.2,,
2018-11-18,161.1,165.87,166.29,160.91,,
2018-11-25,167.65,161.1,167.69,161.1,,
2018-12-02,160.43,167.65,169.16,159.36,,
2018-12-09,158,160.43,162.37,157.23,,
2018-12-16,148.71,158,158.21,148.37,,
2018-12-23,151.35,148.71,153.27,143.34,,
2018-12-30,154.36,151.35,154.51,149.87,,
2019-01-06,157.23,154.36,157.23,153.54,,
2019-01-13,160.46,157.23,160.65,155.81,,
2019-01-20,159.43,158.32,160.65,157.75,,
2019-01-27,162.12,159.43,162.44,157.4,,
2019-02-03,161.87,162.12,163.23,160.34,,
2019-02-10,165.75,161.87,165.76,161.53,,
2019-02-17,167.12,163.57,167.22,163.57,,
2019-02-24,167.65,167.12,168.23,166.47,,
2019-03-03,164.3,167.65,168.31,163.21,,
2019-03-10,167.79,164.3,168.11,164.3,,
2019-03-17,165.54,167.79,169.23,165.42,,
2019-03-24,167.44,165.54,167.53,164.6,,
2019-03-31,170.18,167.44,170.18,167.44,,
2019-04-07,170.82,170.18,170.98,168.88,,
2019-04-14,171.05,170.82,172.14,170.35,,
2019-04-21,170.77,171.05,171.87,169.6,,
2019-04-28,171.4,170.77,172.09,169.28,,
2019-05-05,168.14,171.4,171.4,165.09,,
2019-05-12,167.22,168.14,168.71,164.41,,
2019-05-19,165.9,167.22,168.05,164.77,,
2019-05-26,160.38,165.73,166.49,160.25,,
2019-06-02,167.74,160.38,168.59,160.38,,
2019-06-09,168.41,167.74,169.26,167.74,,
2019-06-16,171.12,168.41,171.7,167.96,,
2019-06-23,170.62,171.12,171.41,169.03,,
2019-06-30,172.88,170.62,173.23,170.62,,
2019-07-07,173,172.88,173.01,171.31,,
2019-07-14,171.64,173,173.23,171.23,,
2019-07-21,173.88,171.64,173.98,171.09,,
2019-07-28,168.77,173.88,174.16,168,,
2019-08-04,167.6,168.77,168.77,162.83,,
2019-08-11,165.64,167.6,168.81,162.04,,
2019-08-18,163.22,165.64,168.1,162.49,,
2019-08-25,167.39,164.77,168.1,163.69,,
2019-09-01,170.63,167,171.1,165.45,,
2019-09-08,173.91,170.63,174.63,170.63,,
2019-09-15,173.16,173.91,174.17,172.24,,
2019-09-22,172.79,173.16,173.88,171.87,,
2019-09-29,171.15,172.79,174.07,166.16,,
2019-10-06,171.48,171.15,172.81,167.54,,
2019-10-13,172.31,171.48,172.95,170.94,,
2019-10-20,174.29,172.31,174.56,172.31,,
2019-10-27,176.17,174.29,176.17,173.62,,
2019-11-03,178.14,176.17,178.5,176.17,,
2019-11-10,177.94,178.14,178.14,176.33,,
2019-11-17,177.47,177.94,178.07,175.95,,
2019-11-24,178.13,177.47,178.98,177.47,,
2019-12-01,179.01,178.13,179.46,174.89,,
2019-12-08,180.27,179.01,181.29,178.13,,
2019-12-15,183.09,180.27,183.44,180.27,,
2019-12-22,183.41,183.09,183.7,182.72,,
2019-12-29,182.12,183.41,183.76,181.96,,
2020-01-05,181.85,182.12,182.91,181.18,,
2020-01-12,184.92,181.85,184.94,181.85,,
2020-01-19,182.58,184.42,184.94,181.76,,
2020-01-26,178.04,182.58,182.58,177.46,,
2020-02-02,182.42,178.04,184.05,178.04,,
2020-02-09,183.3,182.42,184.65,181.96,,
2020-02-16,181.71,183.55,183.64,181.09,,
2020-02-23,160.17,181.71,181.71,155.89,,
2020-03-01,162.26,160.17,170.18,158.81,,
2020-03-08,145.56,162.26,162.26,133.13,,
2020-03-15,124.36,145.56,145.56,123.75,,
2020-03-22,136.2,124.36,140.68,117.36,,
2020-03-29,134.46,136.2,141.12,131,,
2020-04-05,150.26,134.46,152.34,134.46,,
2020-04-12,151.7,150.26,152.06,144.82,,
2020-04-19,149.09,151.7,151.7,144.34,,
2020-04-26,147.53,149.09,156.18,147.01,,
2020-05-03,150.19,147.53,150.23,145.61,,
2020-05-10,145.41,150.19,150.27,140.79,,
2020-05-17,149.14,145.41,151.49,145.41,,
2020-05-24,155.38,149.26,156.81,148.11,,
2020-05-31,165.16,155.38,166.82,154.47,,
2020-06-07,154.16,165.16,167.98,151.35,,
2020-06-14,155.58,154.16,160.05,150.05,,
2020-06-21,149.57,155.58,157.3,148.97,,
2020-06-28,154.03,149.57,156.15,149.57,,
2020-07-05,154.26,154.03,156.48,150.17,,
2020-07-12,158.92,154.26,159.6,153.54,,
2020-07-19,158.74,158.92,161.4,157.52,,
2020-07-26,158.04,158.74,160.33,155.99,,
2020-08-02,161.52,158.04,161.52,157.67,,
2020-08-09,163.1,161.52,165.45,161.52,,
2020-08-16,160.46,163.1,163.25,159.67,,
2020-08-23,163.82,160.46,163.88,160.46,,
2020-08-30,162.24,163.82,166.69,160.35,,
2020-09-06,159.4,162.02,163.94,157.87,,
2020-09-13,159.82,159.4,163.23,159.03,,
2020-09-20,155.58,159.82,159.82,152.37,,
2020-09-27,157.99,155.58,159.25,155.58,,
2020-10-04,163.93,157.99,164.94,157.99,,
2020-10-11,163.67,163.93,165.66,161.23,,
2020-10-18,163.23,163.67,164.33,161.05,,
2020-10-25,154.74,163.23,163.23,151.86,,
2020-11-01,161.99,154.74,163.66,154.74,,
2020-11-08,170.71,161.99,171.36,161.99,,
2020-11-15,170.51,170.71,173.88,169.51,,
2020-11-22,175.28,170.51,176.7,170.51,,
2020-11-29,178.47,175.28,178.48,172.87,,
2020-12-06,177.29,178.47,179.37,176.04,,
2020-12-13,177.22,177.29,178.67,175.39,,
2020-12-20,176.43,177.22,177.22,173.86,,
2020-12-27,178.71,176.43,178.84,176.12,,
2021-01-03,183.39,178.71,184.34,174.89,,
2021-01-10,184.4,183.39,187.27,182.29,,
2021-01-17,183.24,186.36,186.36,182.13,,
2021-01-24,177.18,183.24,184.39,176.49,,
2021-01-31,183.92,177.18,184.61,177.18,,
2021-02-07,186.02,183.92,186.2,183.9,,
2021-02-14,187.07,185.09,187.63,184.62,,
2021-02-21,184.76,187.07,191.23,184.35,,
2021-02-28,190.35,184.76,190.86,184.06,,
2021-03-07,195.95,190.35,196.04,190.35,,
2021-03-14,194.46,195.95,197.77,192.92,,
2021-03-21,198.56,194.46,198.71,191.41,,
2021-03-28,198.15,198.56,198.87,196.32,,
2021-04-04,199.66,198.15,200.14,198,,
2021-04-11,201.65,199.66,202.07,197.98,,
2021-04-18,200.99,201.65,201.7,199.02,,
2021-04-25,201.64,200.99,203.15,200.18,,
2021-05-02,208.99,201.64,209.18,201.64,,
2021-05-09,208.7,208.99,211.38,203.24,,
2021-05-16,207.11,208.7,209.33,202.86,,
2021-05-23,207.21,207.11,208.44,205.54,,
2021-05-30,209.27,207.13,209.42,206.89,,
2021-06-06,208.05,209.27,209.44,207.29,,
2021-06-13,198.89,208.05,208.05,198.86,,
2021-06-20,204.8,198.89,205.07,198.89,,
2021-06-27,205.92,204.8,206.14,203.09,,
2021-07-04,205.06,205.54,206.14,201.03,,
2021-07-11,202.74,205.06,205.9,202.51,,
2021-07-18,204.05,202.74,204.21,197.73,,
2021-07-25,204.99,204.05,206.46,203.05,,
2021-08-01,207.11,204.99,207.58,203.83,,
2021-08-08,210.25,207.11,210.51,206.31,,
2021-08-15,207.41,210.25,210.63,205.13,,
2021-08-22,209.55,207.41,209.88,207.41,,
2021-08-29,208.71,209.55,209.88,207.39,,
2021-09-05,204.42,209.32,209.32,204.4,,
2021-09-12,203.15,204.42,206.74,202.95,,
2021-09-19,204.52,203.15,205.22,197.88,,
2021-09-26,203.8,204.52,206.72,201.01,,
2021-10-03,206.42,203.8,207.75,202.25,,
2021-10-10,208.82,206.42,209.7,202.31,,
2021-10-17,211.61,208.82,212.01,207.44,,
2021-10-24,211.06,211.61,212.86,209.38,,
2021-10-31,214.66,211.06,215.43,211.06,,
2021-11-07,214.79,214.66,215.73,213.61,,
2021-11-14,211.42,214.79,215.98,211.28,,
2021-11-21,209.86,211.42,215.11,208.91,,
2021-11-28,208.23,209.86,211.69,204.43,,
2021-12-05,213.35,208.23,213.57,208.23,,
2021-12-12,213.01,213.35,217.84,211.86,,
2021-12-19,215.77,213.01,216.57,209.33,,
2021-12-26,218.91,215.77,220.09,215.77,,
2022-01-02,223.49,218.91,224.91,218.49,,
2022-01-09,223.62,223.49,225.61,221.57,,
2022-01-16,214.23,223.89,223.89,213.74,,
2022-01-23,215.91,214.23,217.53,208.21,,
2022-01-30,218.54,215.91,221.39,214.21,,
2022-02-06,216.94,218.54,221.95,216.24,,
2022-02-13,214.33,216.94,218.28,213.39,,
2022-02-20,214.76,214.91,215.72,204.18,,
2022-02-27,215,214.76,216.44,209.05,,
2022-03-06,210.45,215,215,209.54,,
2022-03-13,217.76,210.45,217.87,209.88,,
2022-03-20,221.68,217.76,221.7,217.23,,
2022-03-27,219.88,221.68,223.14,217.83,,
2022-04-03,221.01,219.88,221.84,217.14,,
2022-04-10,218.97,221.01,221.5,218.11,,
2022-04-17,215.56,218.97,225.04,215.4,,
2022-04-24,209.42,215.56,216.44,209.12,,
2022-05-01,213.14,209.42,218.06,206.41,,
2022-05-08,210.13,213.14,213.14,204.35,,
2022-05-15,205.54,210.13,214.29,201.55,,
2022-05-22,217.79,205.54,217.8,205.54,,
2022-05-29,214.77,214.65,217.8,212.22,,
2022-06-05,206,214.77,217.46,205.75,,
2022-06-12,192.27,206,206,191.21,,
2022-06-19,201.73,193.5,201.8,191.21,,
2022-06-26,200.63,201.73,204.8,196.58,,
2022-07-03,199.98,198.48,200.98,194.58,,
2022-07-10,198.92,199.98,200.09,192.7,,
2022-07-17,201.32,198.92,202.77,197.09,,
